month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
11/1/2019,Alabama,26375,472,24005,19212,1161,1286,0,32,26,1,3017,1968,20,0,0,0,0,0,46,31,3,1,1,0,77657
11/1/2019,Alaska,238,10,3003,2980,368,260,0,0,0,0,152,86,2,32,28,0,0,0,30,20,4,0,0,0,7213
11/1/2019,Arizona,4524,650,13775,8180,1131,1182,0,6,6,1,1199,558,6,86,14,0,0,0,20,9,4,1,0,0,31352
11/1/2019,Arkansas,2319,649,6814,9628,321,542,4,21,8,0,1145,1707,5,0,0,0,0,0,5,20,2,0,2,0,23192
11/1/2019,California,29002,0,34345,25063,3564,0,0,0,0,0,462,312,17,0,0,0,0,0,0,0,0,0,0,0,92765
11/1/2019,Colorado,4765,0,17950,13946,1475,1272,0,0,0,0,0,0,0,225,49,0,0,0,0,0,0,0,0,0,39682
11/1/2019,Connecticut,5513,355,4908,2321,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13789
11/1/2019,Delaware,154,0,1684,2063,95,88,0,3,0,0,12,14,0,48,0,0,0,0,68,28,1,0,0,0,4258
11/1/2019,District of Columbia,459,0,103,1,0,1,3,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,595
11/1/2019,Florida,14070,0,54799,24497,3666,2924,0,41,18,0,4365,1419,6,902,84,27,0,0,197,138,29,53,39,0,107274
11/1/2019,Georgia,14625,0,16171,13002,653,721,0,27,20,0,1926,1394,8,38,2,0,0,0,8,7,2,0,0,0,48604
11/1/2019,Guam,0,0,98,65,12,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
11/1/2019,Hawaii,921,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,923
11/1/2019,Idaho,5124,7,4875,5774,426,330,0,7,4,1,379,389,1,35,9,2,0,0,5,15,0,2,0,0,17385
11/1/2019,Illinois,12356,403014,21597,12115,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450084
11/1/2019,Indiana,668,35253,21903,17950,1776,1067,24,4,7,0,664,532,13,13,0,1,0,0,46,34,43,2,2,0,80002
11/1/2019,Iowa,6123,9707,348,4487,58,9,1,0,1,0,1,48,0,22,11,1,0,0,0,2,0,0,0,0,20819
11/1/2019,Kansas,1040,4,7143,7349,606,452,0,10,6,0,641,345,9,19,7,0,0,0,7,3,1,1,0,0,17643
11/1/2019,Kentucky,1372,360423,12094,12686,528,738,5,29,19,0,1927,1851,2,12,12,0,0,0,20,27,0,0,2,0,391747
11/1/2019,Louisiana,620,65,11282,13282,687,660,1,11,7,0,1033,1005,6,2,0,0,0,0,8,21,1,0,1,0,28692
11/1/2019,Maine,278,6,2839,4424,292,194,8,0,1,0,94,112,0,18,14,0,0,0,7,7,2,1,0,0,8297
11/1/2019,Mariana Islands,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
11/1/2019,Maryland,3281,27,3447,7153,140,43,0,3,1,0,71,156,2,77,12,4,0,0,0,37,0,2,3,0,14459
11/1/2019,Massachusetts,8291,0,4651,2868,541,175,12,0,0,0,10,9,1,0,0,0,0,0,40,30,17,2,2,0,16649
11/1/2019,Michigan,13890,3292,13255,19391,747,357,2,1,8,0,10,359,0,97,8,0,0,0,11,10,1,0,0,0,51439
11/1/2019,Minnesota,8681,22075,9148,13550,902,508,0,1,2,1,210,332,3,56,18,5,0,0,10,7,0,2,0,0,55511
11/1/2019,Mississippi,1509,0,9210,11603,439,466,0,24,14,1,1658,1536,6,11,0,0,0,0,8,7,2,0,0,0,26494
11/1/2019,Missouri,2721,0,21090,21032,1659,1238,0,13,9,0,1594,1374,5,160,22,3,0,0,42,32,7,4,2,1,51008
11/1/2019,Montana,1082,7,3032,4517,226,233,23,3,7,0,399,711,0,40,7,1,0,0,1,3,2,1,0,0,10295
11/1/2019,Nebraska,2928,67,128,2954,21,9,0,0,0,0,7,64,0,24,1,0,0,0,0,5,0,0,0,0,6208
11/1/2019,Nevada,1546,0,4892,2873,340,318,0,0,0,0,300,139,1,0,0,0,0,0,11,3,0,0,1,0,10424
11/1/2019,New Hampshire,1001,3,4803,3289,291,2,34,0,14,0,0,12,0,73,13,3,0,0,0,0,0,0,0,0,9538
11/1/2019,New Jersey,0,0,3721,3914,200,0,0,0,0,0,0,0,0,0,0,0,0,0,64,48,4,0,2,2,7955
11/1/2019,New Mexico,540,0,6317,4586,527,491,0,13,13,1,427,462,4,50,0,0,0,0,54,18,3,0,2,0,13508
11/1/2019,New York,3276,1504,8355,18336,1329,254,0,0,2,0,52,53,5,29,72,1,2,2,275,251,18,10,6,0,33832
11/1/2019,North Carolina,20804,72,2394,18720,1086,263,0,20,16,5,2153,1869,12,477,161,12,10,8,4,20,0,0,1,0,48107
11/1/2019,North Dakota,274,16,1731,3237,135,105,18,0,0,0,62,145,0,7,0,0,0,0,8,0,0,0,0,0,5738
11/1/2019,Ohio,9271,100,25230,24933,2034,1390,6,8,9,0,1137,823,7,57,19,0,0,0,28,33,3,2,1,1,65092
11/1/2019,Oklahoma,2483,0,18679,12894,1279,1417,0,20,16,1,2138,1788,7,10,0,1,1,0,36,35,13,3,1,1,40823
11/1/2019,Oregon,4844,653,15105,11503,0,9,4,0,0,0,0,0,0,131,56,0,0,0,0,0,0,0,0,0,32305
11/1/2019,Pennsylvania,18877,0,49972,22212,39,0,245,0,0,0,0,0,0,547,118,1,0,0,0,0,0,0,0,0,92011
11/1/2019,Puerto Rico,0,0,1902,203,114,30,0,0,0,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,2273
11/1/2019,Rhode Island,0,0,1039,747,57,174,0,0,0,0,3,0,0,52,54,0,0,0,13,9,0,0,1,0,2149
11/1/2019,South Carolina,7254,179,11531,9303,822,745,0,18,12,0,965,546,9,168,14,1,0,0,16,9,1,0,0,0,31593
11/1/2019,South Dakota,409,2,2687,4634,205,216,0,1,3,0,120,217,0,0,0,0,0,0,2,8,5,1,0,0,8510
11/1/2019,Tennessee,8140,37,27826,21101,1706,0,0,0,0,0,1,2,0,68,9,0,0,0,0,0,0,0,0,0,58890
11/1/2019,Texas,23710,0,57252,41942,3592,3519,0,81,49,4,6229,3981,42,75,3,0,0,0,60,47,6,3,3,0,140598
11/1/2019,Utah,11392,54755,4095,5038,388,0,0,1,3,0,245,253,1,130,31,22,0,0,0,0,0,0,0,0,76354
11/1/2019,Vermont,0,0,1176,1739,106,61,3,0,0,0,5,1,1,0,0,0,0,0,2,0,0,0,0,0,3094
11/1/2019,Virgin Islands,218,0,21,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
11/1/2019,Virginia,438,458,27949,23374,5338,2,2,0,0,0,0,0,0,84,17,0,0,0,0,0,0,0,0,0,57662
11/1/2019,Washington,11440,374,13487,10163,2902,49,29,3,102,3,363,708,12,487,95,8,0,0,244,226,63,0,6,0,40764
11/1/2019,West Virginia,1536,155,5980,9834,299,406,0,9,11,0,943,1648,1,4,0,0,0,0,13,10,1,0,1,0,20851
11/1/2019,Wisconsin,8109,559,15182,18344,1020,65,0,0,0,11,125,336,4,104,36,5,0,0,0,9,0,0,0,0,43909
11/1/2019,Wyoming,251,16,2094,2425,169,129,0,3,5,0,141,163,2,0,0,0,0,0,4,7,0,1,1,0,5411
10/1/2019,Alabama,25615,635,16759,13692,1078,938,0,31,20,2,2883,1515,19,1,1,0,0,0,34,24,6,0,1,0,63254
10/1/2019,Alaska,168,5,3304,3510,392,302,0,0,0,0,281,243,0,31,12,0,0,0,23,9,0,1,0,0,8281
10/1/2019,Arizona,5151,686,11543,7509,1138,798,0,12,8,1,1208,620,5,103,14,0,0,0,21,13,3,0,0,0,28833
