month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
10/1/2006,Utah,1697,,1804,5376,,96,0,0,0,,0,0,,,,,,,,,,,,,8973
10/1/2006,Vermont,0,,554,1748,,24,0,0,0,,0,0,,,,,,,,,,,,,2326
10/1/2006,Virgin Islands,97,,32,2,,0,0,0,0,,0,0,,,,,,,,,,,,,131
10/1/2006,Virginia,0,,7436,12437,,247,0,0,0,,0,0,,,,,,,,,,,,,20120
10/1/2006,Washington,6409,,6031,9600,,265,23,2,6,,643,1457,,,,,,,,,,,,,24436
10/1/2006,West Virginia,0,,2569,8331,,196,0,3,9,,515,2292,,,,,,,,,,,,,13915
10/1/2006,Wisconsin,0,,3949,18096,,4,0,0,5,,6,251,,,,,,,,,,,,,22311
10/1/2006,Wyoming,203,,818,2340,,56,12,2,8,,87,288,,,,,,,,,,,,,3814
9/1/2006,Alabama,0,,6257,10357,,322,0,60,85,,1306,1808,,0,0,,,,,,,,,,20195
9/1/2006,Alaska,0,,1182,2364,,85,0,3,3,,140,201,,0,0,,,,,,,,,,3978
9/1/2006,Arizona,3608,,6370,6862,,285,0,10,4,,650,502,,0,0,,,,,,,,,,18291
9/1/2006,Arkansas,463,,2843,8243,,246,0,1,22,,694,2193,,0,0,,,,,,,,,,14705
9/1/2006,California,12371,,13433,16155,,3352,0,0,0,,0,0,,0,0,,,,,,,,,,45311
9/1/2006,Colorado,806,,6317,10823,,438,0,0,0,,0,0,,0,0,,,,,,,,,,18384
9/1/2006,Connecticut,3373,,1868,2013,,42,287,0,0,,0,0,,0,0,,,,,,,,,,7583
9/1/2006,Delaware,0,,431,914,,12,0,0,0,,0,0,,0,0,,,,,,,,,,1357
9/1/2006,District of Columbia,0,,1,0,,0,0,0,0,,0,0,,0,0,,,,,,,,,,1
9/1/2006,Florida,0,,16596,13698,,674,1,6,8,,541,453,,0,0,,,,,,,,,,31977
9/1/2006,Georgia,2763,,5795,9661,,332,0,26,46,,933,1640,,0,0,,,,,,,,,,21196
9/1/2006,Guam,0,,12,14,,0,0,0,0,,0,0,,0,0,,,,,,,,,,26
9/1/2006,Hawaii,552,,0,0,,0,0,0,0,,0,0,,0,0,,,,,,,,,,552
9/1/2006,Idaho,1362,,1706,5209,,110,0,1,11,,238,866,,0,0,,,,,,,,,,9503
9/1/2006,Illinois,33948,,4607,8118,,299,0,0,0,,0,0,,0,0,,,,,,,,,,46972
9/1/2006,Indiana,0,,5381,8879,,265,0,0,13,,0,474,,0,0,,,,,,,,,,15012
9/1/2006,Iowa,3733,,11,4437,,3,0,0,2,,5,143,,0,0,,,,,,,,,,8334
9/1/2006,Kansas,0,,2809,5754,,219,0,3,6,,287,533,,0,0,,,,,,,,,,9611
9/1/2006,Kentucky,100938,,5672,9943,,487,0,13,31,,1257,2365,,0,0,,,,,,,,,,120706
9/1/2006,Louisiana,,,5948,10836,,253,0,5,6,,706,1326,,0,0,,,,,,,,,,19080
9/1/2006,Maine,0,,1287,4128,,141,0,14,29,,34,158,,0,0,,,,,,,,,,5791
